timestamp_local,camera_id,latency_s,status_code,ok,person_count,proc_ms,sys_cpu_pct,proc_cpu_pct,proc_rss_mb,rx_bytes,tx_bytes
2025-10-28 21:05:51,cam01,0.841,200,True,4,645.4,12.0,54.2,378.73,7489,2407
2025-10-28 21:05:53,cam02,0.702,200,True,1,487.9,38.6,42.9,362.88,114,636
2025-10-28 21:05:56,cam01,0.408,200,True,4,220.68,8.2,85.9,365.12,0,0
2025-10-28 21:05:59,cam02,0.339,200,True,1,175.59,8.7,96.6,361.75,0,0
2025-10-28 21:06:02,cam01,0.384,200,True,6,184.52,7.1,92.0,361.69,0,0
2025-10-28 21:06:04,cam02,0.4,200,True,1,200.66,9.9,89.6,369.76,114,624
2025-10-28 21:06:07,cam01,0.34,200,True,6,169.7,6.9,94.1,360.7,0,0
2025-10-28 21:06:10,cam02,0.344,200,True,2,179.34,9.0,100.2,369.88,1068,1252
2025-10-28 21:06:12,cam01,0.341,200,True,6,158.06,6.6,94.7,360.57,0,0
2025-10-28 21:06:15,cam02,0.335,200,True,2,168.62,8.3,94.7,357.44,0,0
2025-10-28 21:06:18,cam01,0.336,200,True,6,167.19,6.2,101.5,360.08,0,0
2025-10-28 21:06:20,cam02,0.337,200,True,2,170.96,8.3,98.7,357.44,0,0
2025-10-28 21:06:23,cam01,0.372,200,True,6,190.2,9.8,94.5,361.6,7255,5089
2025-10-28 21:06:26,cam02,0.389,200,True,2,198.26,9.1,100.7,358.71,0,0
2025-10-28 21:06:29,cam01,0.354,200,True,6,186.65,6.9,96.2,358.41,0,0
2025-10-28 21:06:31,cam02,0.353,200,True,2,178.31,9.0,89.5,356.39,0,0
2025-10-28 21:06:34,cam01,0.367,200,True,6,196.41,7.6,96.5,367.46,0,0
2025-10-28 21:06:36,cam02,0.365,200,True,2,168.21,7.9,100.8,353.12,0,0
2025-10-28 21:06:39,cam01,0.379,200,True,5,178.27,6.8,100.8,358.4,0,0
2025-10-28 21:06:42,cam02,0.344,200,True,2,180.65,8.0,99.4,367.46,0,54
2025-10-28 21:06:45,cam01,0.36,200,True,5,192.57,7.7,93.3,358.4,0,0
2025-10-28 21:06:47,cam02,0.388,200,True,2,183.05,9.2,98.2,355.77,0,0
2025-10-28 21:06:50,cam01,0.363,200,True,5,179.51,7.0,100.1,358.41,0,0
2025-10-28 21:06:53,cam02,0.388,200,True,2,171.85,9.2,104.5,355.52,0,0
