timestamp_local,camera_id,latency_s,status_code,ok,person_count,proc_ms,sys_cpu_pct,proc_cpu_pct,proc_rss_mb,rx_bytes,tx_bytes2025-10-28 21:12:42,cam01,0.829,200,True,4,626.18,6.3,55.9,377.48,7366,2312

2025-10-28 21:14:56,cam01,0.822,200,True,4,630.61,8.1,58.6,373.54,7431,2378
2025-10-28 21:14:58,cam02,0.393,200,True,1,198.9,13.0,95.3,370.45,0,0
2025-10-28 21:15:00,cam04,0.331,200,True,3,191.94,10.1,98.6,380.66,0,0
2025-10-28 21:15:02,cam01,0.336,200,True,4,165.42,12.0,96.5,367.79,180,704
2025-10-28 21:15:02,cam03,0.39,200,True,1,201.5,45.5,94.1,370.53,200,118
2025-10-28 21:15:03,cam02,0.353,200,True,1,187.0,17.1,90.7,363.47,0,0
2025-10-28 21:15:04,cam07,0.348,200,True,4,170.95,18.5,99.3,366.11,0,108
2025-10-28 21:15:05,cam04,0.374,200,True,3,188.27,23.5,100.7,376.17,0,0
2025-10-28 21:15:07,cam09,0.345,200,True,4,162.51,12.8,98.3,376.18,0,0
2025-10-28 21:15:07,cam01,0.327,200,True,6,163.07,45.7,104.0,363.48,0,0
2025-10-28 21:15:08,cam03,0.352,200,True,1,174.69,39.6,97.1,368.93,0,0
2025-10-28 21:15:09,cam02,0.388,200,True,1,185.6,15.7,102.2,363.48,94262,606
2025-10-28 21:15:09,cam10,0.414,200,True,4,175.87,78.3,96.5,376.19,60,0
2025-10-28 21:15:10,cam07,0.357,200,True,4,170.14,22.2,99.7,363.49,3807,5259
2025-10-28 21:15:11,cam04,0.337,200,True,2,196.94,24.4,96.3,366.13,491,604
2025-10-28 21:15:11,cam08,0.349,200,True,4,168.73,28.3,100.5,363.5,0,0
2025-10-28 21:15:12,cam09,0.539,200,True,4,181.05,20.0,99.2,366.13,95788,714
2025-10-28 21:15:12,cam01,0.392,200,True,6,170.18,77.3,105.6,366.13,0,0
2025-10-28 21:15:13,cam03,0.389,200,True,1,194.73,43.8,92.3,366.14,155,66
2025-10-28 21:15:14,cam06,0.535,200,True,4,188.65,24.1,100.5,363.5,0,66
2025-10-28 21:15:14,cam02,0.387,200,True,2,184.77,51.4,97.2,366.14,82684,662
2025-10-28 21:15:14,cam10,0.399,200,True,4,192.3,79.2,93.5,376.21,184,66
2025-10-28 21:15:15,cam07,0.332,200,True,6,165.54,23.0,102.3,366.14,0,0
2025-10-28 21:15:16,cam05,0.339,200,True,4,175.81,29.2,90.8,366.15,96603,5955
2025-10-28 21:15:16,cam04,0.337,200,True,3,173.41,90.0,97.9,366.15,0,0
2025-10-28 21:15:17,cam08,0.343,200,True,4,179.89,31.1,94.3,362.89,0,0
2025-10-28 21:15:18,cam09,0.362,200,True,6,179.23,18.8,100.3,365.52,88398,498
2025-10-28 21:15:18,cam01,0.381,200,True,6,177.1,78.3,95.8,362.89,60,0
2025-10-28 21:15:18,cam03,0.367,200,True,1,177.97,40.0,100.9,368.34,0,0
2025-10-28 21:15:19,cam06,0.338,200,True,4,173.26,23.2,97.9,362.89,0,0
2025-10-28 21:15:20,cam02,0.363,200,True,2,170.56,44.7,105.4,365.53,41486,444
2025-10-28 21:15:20,cam10,0.358,200,True,6,171.55,72.0,93.0,365.53,0,0
2025-10-28 21:15:21,cam07,0.344,200,True,6,179.13,25.0,100.3,365.53,0,0
2025-10-28 21:15:21,cam05,0.35,200,True,4,180.48,35.4,98.0,362.52,91330,768
2025-10-28 21:15:21,cam04,0.334,200,True,2,175.81,85.0,102.2,365.15,0,0
2025-10-28 21:15:22,cam08,0.352,200,True,6,166.89,29.0,101.7,375.23,0,0
2025-10-28 21:15:23,cam09,0.329,200,True,6,164.71,21.2,97.0,367.71,13632,282
2025-10-28 21:15:23,cam01,0.361,200,True,6,179.45,69.2,100.1,361.39,0,0
2025-10-28 21:15:24,cam03,0.364,200,True,0,172.54,40.0,98.3,364.03,0,0
2025-10-28 21:15:25,cam06,0.371,200,True,6,189.14,22.2,95.0,364.03,0,108
2025-10-28 21:15:25,cam02,0.356,200,True,2,188.49,55.3,100.6,364.03,41486,390
2025-10-28 21:15:25,cam10,0.365,200,True,6,195.03,76.0,97.2,361.39,0,0
2025-10-28 21:15:26,cam07,0.358,200,True,6,174.96,26.0,102.7,364.03,0,0
2025-10-28 21:15:27,cam05,0.364,200,True,6,181.0,29.7,99.3,361.72,102262,9997
2025-10-28 21:15:27,cam04,0.377,200,True,4,186.98,86.4,96.1,364.36,0,54
2025-10-28 21:15:27,cam08,0.358,200,True,6,171.27,30.5,99.0,361.72,0,0
2025-10-28 21:15:28,cam09,0.36,200,True,6,196.93,18.6,101.4,364.36,41486,444
2025-10-28 21:15:29,cam01,0.337,200,True,6,171.22,76.0,99.1,361.72,0,0
2025-10-28 21:15:29,cam03,0.34,200,True,0,173.51,40.4,97.8,364.36,0,0
2025-10-28 21:15:30,cam06,0.355,200,True,6,174.64,21.4,97.2,374.44,0,0
2025-10-28 21:15:30,cam02,0.376,200,True,2,201.33,56.8,99.1,364.36,41486,840
2025-10-28 21:15:31,cam10,0.335,200,True,6,171.4,75.0,99.0,361.72,0,0
2025-10-28 21:15:31,cam07,0.356,200,True,6,172.8,22.7,98.2,374.44,0,0
