timestamp_local,camera_id,latency_s,status_code,ok,person_count,proc_ms,sys_cpu_pct,proc_cpu_pct,proc_rss_mb,rx_bytes,tx_bytes
2025-10-28 21:09:44,cam01,1.213,200,True,4,1036.83,2.2,35.7,373.84,11173,7571
2025-10-28 21:09:46,cam02,0.438,200,True,1,254.48,15.8,82.4,357.22,0,0
2025-10-28 21:09:48,cam03,0.418,200,True,1,184.93,8.5,101.4,358.12,0,0
2025-10-28 21:09:49,cam01,0.334,200,True,4,171.51,11.5,98.9,355.48,0,0
2025-10-28 21:09:51,cam02,0.337,200,True,1,173.04,14.2,98.0,358.13,0,0
2025-10-28 21:09:53,cam03,0.363,200,True,1,172.48,10.5,98.4,361.89,0,0
2025-10-28 21:09:55,cam01,0.348,200,True,6,180.92,12.2,93.8,358.14,0,0
2025-10-28 21:09:56,cam02,0.354,200,True,1,186.04,14.2,96.6,355.5,4229,5973
2025-10-28 21:09:59,cam03,0.369,200,True,1,176.96,8.0,95.9,358.14,0,0
2025-10-28 21:10:00,cam01,0.334,200,True,6,170.61,12.3,99.5,355.5,0,0
2025-10-28 21:10:02,cam02,0.353,200,True,2,174.95,13.4,108.4,358.14,0,0
2025-10-28 21:10:04,cam03,0.39,200,True,1,187.17,9.2,90.7,354.88,0,0
2025-10-28 21:10:06,cam01,0.374,200,True,6,209.59,14.4,100.0,368.58,0,0
2025-10-28 21:10:07,cam02,0.353,200,True,2,177.72,13.6,95.5,354.88,0,0
2025-10-28 21:10:09,cam03,0.373,200,True,0,173.81,8.3,103.4,357.99,0,0
2025-10-28 21:10:11,cam01,0.51,200,True,6,187.06,11.8,96.1,354.89,0,0
2025-10-28 21:10:12,cam02,0.357,200,True,2,180.63,14.6,99.5,357.52,0,0
2025-10-28 21:10:15,cam03,0.351,200,True,0,184.65,8.7,97.3,355.17,7378,6489
2025-10-28 21:10:17,cam01,0.367,200,True,6,176.91,11.1,95.9,368.87,0,0
2025-10-28 21:10:18,cam02,0.352,200,True,2,185.3,16.4,97.0,357.8,0,216
2025-10-28 21:10:20,cam03,0.376,200,True,0,186.46,9.9,96.4,361.43,184,66
2025-10-28 21:10:22,cam01,0.36,200,True,6,174.37,14.6,97.3,369.21,0,0
2025-10-28 21:10:23,cam02,0.342,200,True,2,167.36,15.1,107.3,358.62,0,0
2025-10-28 21:10:26,cam03,0.388,200,True,0,197.89,8.9,95.8,361.18,0,0
2025-10-28 21:10:27,cam01,0.381,200,True,6,200.58,12.8,99.6,356.93,0,0
2025-10-28 21:10:28,cam02,0.348,200,True,2,177.64,16.8,95.5,354.29,0,0
2025-10-28 21:10:31,cam03,0.37,200,True,0,174.48,7.6,102.9,357.07,0,0
2025-10-28 21:10:33,cam01,0.35,200,True,5,185.34,11.8,91.5,354.44,491,604
2025-10-28 21:10:34,cam02,0.344,200,True,2,176.02,17.9,96.4,360.82,156,1252
2025-10-28 21:10:36,cam03,0.345,200,True,0,180.55,8.7,99.5,357.07,0,0
2025-10-28 21:10:38,cam01,0.37,200,True,5,185.07,11.6,102.5,357.07,0,0
2025-10-28 21:10:39,cam02,0.39,200,True,2,196.41,19.6,86.4,353.94,0,0
2025-10-28 21:10:42,cam03,0.385,200,True,0,191.42,8.4,104.2,360.33,0,0
2025-10-28 21:10:43,cam01,0.354,200,True,5,172.31,11.0,98.5,353.94,0,54
2025-10-28 21:10:45,cam02,0.376,200,True,2,185.83,17.5,102.0,356.58,0,0
2025-10-28 21:10:47,cam03,0.386,200,True,0,193.76,10.0,97.9,357.05,7321,6655
2025-10-28 21:10:49,cam01,0.348,200,True,5,181.17,11.3,93.7,367.11,0,0
2025-10-28 21:10:50,cam02,0.341,200,True,2,175.78,17.5,96.5,356.52,74,74
2025-10-28 21:10:53,cam03,0.413,200,True,1,192.99,10.9,103.4,356.05,0,0
2025-10-28 21:10:54,cam01,0.499,200,True,6,175.69,10.7,96.6,352.94,0,0
2025-10-28 21:10:55,cam02,0.413,200,True,2,183.91,17.8,97.7,356.52,557,604
2025-10-28 21:10:58,cam03,0.38,200,True,0,178.59,7.8,100.6,359.33,0,0
2025-10-28 21:11:00,cam01,0.499,200,True,7,173.08,10.0,98.1,355.58,0,0
2025-10-28 21:11:01,cam02,0.375,200,True,2,184.97,21.1,102.5,352.95,0,0
2025-10-28 21:11:03,cam03,0.376,200,True,1,182.26,7.8,98.6,359.33,0,0
2025-10-28 21:11:05,cam01,0.336,200,True,7,172.27,9.6,98.5,352.95,0,0
2025-10-28 21:11:06,cam02,0.339,200,True,2,170.67,20.0,99.4,359.33,0,0
2025-10-28 21:11:09,cam03,0.398,200,True,1,173.67,7.3,97.7,359.33,0,0
2025-10-28 21:11:11,cam01,0.497,200,True,5,179.32,11.1,94.6,355.58,208,110
2025-10-28 21:11:12,cam02,0.345,200,True,2,182.86,26.7,98.3,352.95,0,0
2025-10-28 21:11:14,cam03,0.375,200,True,0,179.86,8.7,94.3,355.58,0,0
