timestamp_local,camera_id,latency_s,status_code,ok,person_count,proc_ms,sys_cpu_pct,proc_cpu_pct,proc_rss_mb,rx_bytes,tx_bytes
2025-10-28 20:57:00,cam01,0.425,200,True,4,228.15,5.1,74.4,359.68,0,0
2025-10-28 20:57:05,cam01,0.381,200,True,4,215.39,7.6,92.7,362.31,0,0
2025-10-28 20:57:10,cam01,0.357,200,True,6,171.38,5.9,104.8,365.48,0,0
2025-10-28 20:57:16,cam01,0.364,200,True,6,200.73,8.5,89.4,378.3,0,0
2025-10-28 20:57:21,cam01,0.341,200,True,6,173.59,5.7,92.0,378.25,7321,3262
2025-10-28 20:57:27,cam01,0.36,200,True,6,197.34,11.0,86.0,362.69,66,0
2025-10-28 20:57:32,cam01,0.369,200,True,6,190.95,4.5,88.9,360.05,0,0
2025-10-28 20:57:37,cam01,0.34,200,True,6,175.26,9.3,96.8,362.69,184,66
2025-10-28 20:57:43,cam01,0.359,200,True,6,196.11,5.3,96.7,360.05,0,0
2025-10-28 20:57:48,cam01,0.384,200,True,5,169.99,8.2,93.9,362.56,0,0
