2025-09-25 19:04:55,0
2025-09-25 19:05:31,0
2025-09-25 19:09:27,0
2025-09-25 19:16:21,3
2025-09-25 19:16:21,3
2025-09-25 19:16:22,3
2025-09-25 19:16:23,3
2025-09-25 19:16:23,2
2025-09-25 19:16:24,3
2025-09-25 19:16:25,3
2025-09-25 19:16:25,3
2025-09-25 19:16:26,3
2025-09-25 19:16:26,3
2025-09-25 19:16:27,3
2025-09-25 19:16:28,3
2025-09-25 19:16:28,3
2025-09-25 19:16:29,3
2025-09-25 19:16:30,3
2025-09-25 19:16:30,3
2025-09-25 19:16:31,3
2025-09-25 19:16:32,2
2025-09-25 19:16:32,2
2025-09-25 19:16:33,3
2025-09-25 19:16:34,3
2025-09-25 19:16:34,3
2025-09-25 19:16:35,2
2025-09-25 19:16:35,2
2025-09-25 19:16:36,4
2025-09-25 19:16:37,5
2025-09-25 19:16:37,3
2025-09-25 19:16:38,3
2025-09-25 19:16:39,4
2025-09-25 19:16:39,3
2025-09-25 19:16:40,3
2025-09-25 19:16:40,4
2025-09-25 19:16:41,2
2025-09-25 19:16:42,2
2025-09-25 19:16:42,2
2025-09-25 19:16:43,5
2025-09-25 19:16:43,5
2025-09-25 19:16:44,4
2025-09-25 19:16:45,4
2025-09-25 19:16:45,4
2025-09-25 19:16:46,4
2025-09-25 19:16:47,4
2025-09-25 19:16:47,4
2025-09-25 19:16:48,5
2025-09-25 19:16:48,5
2025-09-25 19:16:49,5
2025-09-25 19:16:50,6
2025-09-25 19:16:50,5
2025-09-25 19:16:51,5
2025-09-25 19:16:52,6
2025-09-25 19:16:52,7
2025-09-25 19:16:53,6
2025-09-25 19:16:53,6
2025-09-25 19:16:54,6
2025-09-25 19:16:55,7
2025-09-25 19:16:55,6
2025-09-25 19:16:56,7
2025-09-25 19:16:57,6
2025-09-25 19:16:57,5
2025-09-25 19:16:58,6
2025-09-25 19:16:58,6
2025-09-25 19:16:59,6
2025-09-25 19:17:00,7
2025-09-25 19:17:00,5
2025-09-25 19:17:01,7
2025-09-25 19:17:02,7
2025-09-25 19:17:02,7
2025-09-25 19:17:03,7
2025-09-25 19:17:03,6
2025-09-25 19:17:04,5
2025-09-25 19:17:05,4
2025-09-25 19:17:05,4
2025-09-25 19:17:06,4
2025-09-25 19:17:07,4
2025-09-25 19:17:07,6
2025-09-25 19:17:08,4
2025-09-25 19:17:08,4
2025-09-25 19:17:09,3
2025-09-25 19:17:10,3
2025-09-25 19:17:10,4
2025-09-25 19:17:11,4
2025-09-25 19:17:12,4
2025-09-25 19:17:12,5
2025-09-25 19:17:13,6
2025-09-25 19:17:13,6
2025-09-25 19:17:14,5
2025-09-25 19:17:15,5
2025-09-25 19:17:15,5
2025-09-25 19:17:16,4
2025-09-25 19:17:17,4
2025-09-25 19:17:17,5
2025-09-25 19:17:18,6
2025-09-25 19:17:18,6
2025-09-25 19:17:19,5
2025-09-25 19:17:20,5
2025-09-25 19:17:20,5
2025-09-25 19:17:21,6
2025-09-25 19:17:22,5
2025-09-25 19:17:22,6
2025-09-25 19:17:23,6
2025-09-25 19:17:23,5
2025-09-25 19:17:24,4
2025-09-25 19:17:25,5
2025-09-25 19:17:25,5
2025-09-25 19:17:26,5
2025-09-25 19:17:27,5
2025-09-25 19:17:27,5
2025-09-25 19:17:28,5
2025-09-25 19:17:28,5
2025-09-25 19:17:29,5
2025-09-25 19:17:30,5
2025-09-25 19:17:30,5
2025-09-25 19:17:31,5
2025-09-25 19:17:32,4
2025-09-25 19:17:32,4
2025-09-25 19:17:33,4
2025-09-25 19:17:34,3
2025-09-25 19:17:34,3
2025-09-25 19:17:35,4
2025-09-25 19:17:35,3
2025-09-25 19:17:36,4
